id,family,element,source,variants_to_review,proposed_work,priority,status
sticker.sun,sticker,sun,LettersArt.js:STICKER_ART,owned / missing / newly awarded / small cell,"Redraw this motif individually with a clear silhouette, one light/shadow family and recognizable details at 48–88px; retain its ID and ownership.",P1,inventoried; not implemented
sticker.moon,sticker,moon,LettersArt.js:STICKER_ART,owned / missing / newly awarded / small cell,"Redraw this motif individually with a clear silhouette, one light/shadow family and recognizable details at 48–88px; retain its ID and ownership.",P1,inventoried; not implemented
sticker.star,sticker,star,LettersArt.js:STICKER_ART,owned / missing / newly awarded / small cell,"Redraw this motif individually with a clear silhouette, one light/shadow family and recognizable details at 48–88px; retain its ID and ownership.",P1,inventoried; not implemented
sticker.rainbow,sticker,rainbow,LettersArt.js:STICKER_ART,owned / missing / newly awarded / small cell,"Redraw this motif individually with a clear silhouette, one light/shadow family and recognizable details at 48–88px; retain its ID and ownership.",P1,inventoried; not implemented
sticker.palm,sticker,palm,LettersArt.js:STICKER_ART,owned / missing / newly awarded / small cell,"Redraw this motif individually with a clear silhouette, one light/shadow family and recognizable details at 48–88px; retain its ID and ownership.",P1,inventoried; not implemented
sticker.flower,sticker,flower,LettersArt.js:STICKER_ART,owned / missing / newly awarded / small cell,"Redraw this motif individually with a clear silhouette, one light/shadow family and recognizable details at 48–88px; retain its ID and ownership.",P1,inventoried; not implemented
sticker.butterfly,sticker,butterfly,LettersArt.js:STICKER_ART,owned / missing / newly awarded / small cell,"Redraw this motif individually with a clear silhouette, one light/shadow family and recognizable details at 48–88px; retain its ID and ownership.",P1,inventoried; not implemented
sticker.bee,sticker,bee,LettersArt.js:STICKER_ART,owned / missing / newly awarded / small cell,"Redraw this motif individually with a clear silhouette, one light/shadow family and recognizable details at 48–88px; retain its ID and ownership.",P1,inventoried; not implemented
sticker.dove,sticker,dove,LettersArt.js:STICKER_ART,owned / missing / newly awarded / small cell,"Redraw this motif individually with a clear silhouette, one light/shadow family and recognizable details at 48–88px; retain its ID and ownership.",P1,inventoried; not implemented
sticker.fish,sticker,fish,LettersArt.js:STICKER_ART,owned / missing / newly awarded / small cell,"Redraw this motif individually with a clear silhouette, one light/shadow family and recognizable details at 48–88px; retain its ID and ownership.",P1,inventoried; not implemented
sticker.boat,sticker,boat,LettersArt.js:STICKER_ART,owned / missing / newly awarded / small cell,"Redraw this motif individually with a clear silhouette, one light/shadow family and recognizable details at 48–88px; retain its ID and ownership.",P1,inventoried; not implemented
sticker.lantern,sticker,lantern,LettersArt.js:STICKER_ART,owned / missing / newly awarded / small cell,"Redraw this motif individually with a clear silhouette, one light/shadow family and recognizable details at 48–88px; retain its ID and ownership.",P1,inventoried; not implemented
sticker.key,sticker,key,LettersArt.js:STICKER_ART,owned / missing / newly awarded / small cell,"Redraw this motif individually with a clear silhouette, one light/shadow family and recognizable details at 48–88px; retain its ID and ownership.",P1,inventoried; not implemented
sticker.egg,sticker,egg,LettersArt.js:STICKER_ART,owned / missing / newly awarded / small cell,"Redraw this motif individually with a clear silhouette, one light/shadow family and recognizable details at 48–88px; retain its ID and ownership.",P1,inventoried; not implemented
sticker.cat,sticker,cat,LettersArt.js:STICKER_ART,owned / missing / newly awarded / small cell,"Redraw this motif individually with a clear silhouette, one light/shadow family and recognizable details at 48–88px; retain its ID and ownership.",P1,inventoried; not implemented
sticker.cloud,sticker,cloud,LettersArt.js:STICKER_ART,owned / missing / newly awarded / small cell,"Redraw this motif individually with a clear silhouette, one light/shadow family and recognizable details at 48–88px; retain its ID and ownership.",P1,inventoried; not implemented
sticker.camel,sticker,camel,LettersArt.js:STICKER_ART,owned / missing / newly awarded / small cell,"Redraw this motif individually with a clear silhouette, one light/shadow family and recognizable details at 48–88px; retain its ID and ownership.",P1,inventoried; not implemented
sticker.elephant,sticker,elephant,LettersArt.js:STICKER_ART,owned / missing / newly awarded / small cell,"Redraw this motif individually with a clear silhouette, one light/shadow family and recognizable details at 48–88px; retain its ID and ownership.",P1,inventoried; not implemented
sticker.ant,sticker,ant,LettersArt.js:STICKER_ART,owned / missing / newly awarded / small cell,"Redraw this motif individually with a clear silhouette, one light/shadow family and recognizable details at 48–88px; retain its ID and ownership.",P1,inventoried; not implemented
sticker.spider,sticker,spider,LettersArt.js:STICKER_ART,owned / missing / newly awarded / small cell,"Redraw this motif individually with a clear silhouette, one light/shadow family and recognizable details at 48–88px; retain its ID and ownership.",P1,inventoried; not implemented
sticker.crow,sticker,crow,LettersArt.js:STICKER_ART,owned / missing / newly awarded / small cell,"Redraw this motif individually with a clear silhouette, one light/shadow family and recognizable details at 48–88px; retain its ID and ownership.",P1,inventoried; not implemented
sticker.hoopoe,sticker,hoopoe,LettersArt.js:STICKER_ART,owned / missing / newly awarded / small cell,"Redraw this motif individually with a clear silhouette, one light/shadow family and recognizable details at 48–88px; retain its ID and ownership.",P1,inventoried; not implemented
sticker.whale,sticker,whale,LettersArt.js:STICKER_ART,owned / missing / newly awarded / small cell,"Redraw this motif individually with a clear silhouette, one light/shadow family and recognizable details at 48–88px; retain its ID and ownership.",P1,inventoried; not implemented
sticker.fig,sticker,fig,LettersArt.js:STICKER_ART,owned / missing / newly awarded / small cell,"Redraw this motif individually with a clear silhouette, one light/shadow family and recognizable details at 48–88px; retain its ID and ownership.",P1,inventoried; not implemented
sticker.olive,sticker,olive,LettersArt.js:STICKER_ART,owned / missing / newly awarded / small cell,"Redraw this motif individually with a clear silhouette, one light/shadow family and recognizable details at 48–88px; retain its ID and ownership.",P1,inventoried; not implemented
sticker.dates,sticker,dates,LettersArt.js:STICKER_ART,owned / missing / newly awarded / small cell,"Redraw this motif individually with a clear silhouette, one light/shadow family and recognizable details at 48–88px; retain its ID and ownership.",P1,inventoried; not implemented
sticker.pomegranate,sticker,pomegranate,LettersArt.js:STICKER_ART,owned / missing / newly awarded / small cell,"Redraw this motif individually with a clear silhouette, one light/shadow family and recognizable details at 48–88px; retain its ID and ownership.",P1,inventoried; not implemented
sticker.grapes,sticker,grapes,LettersArt.js:STICKER_ART,owned / missing / newly awarded / small cell,"Redraw this motif individually with a clear silhouette, one light/shadow family and recognizable details at 48–88px; retain its ID and ownership.",P1,inventoried; not implemented
sticker.honeycomb,sticker,honeycomb,LettersArt.js:STICKER_ART,owned / missing / newly awarded / small cell,"Redraw this motif individually with a clear silhouette, one light/shadow family and recognizable details at 48–88px; retain its ID and ownership.",P1,inventoried; not implemented
sticker.waterdrop,sticker,waterdrop,LettersArt.js:STICKER_ART,owned / missing / newly awarded / small cell,"Redraw this motif individually with a clear silhouette, one light/shadow family and recognizable details at 48–88px; retain its ID and ownership.",P1,inventoried; not implemented
sticker.mountain,sticker,mountain,LettersArt.js:STICKER_ART,owned / missing / newly awarded / small cell,"Redraw this motif individually with a clear silhouette, one light/shadow family and recognizable details at 48–88px; retain its ID and ownership.",P1,inventoried; not implemented
sticker.nest,sticker,nest,LettersArt.js:STICKER_ART,owned / missing / newly awarded / small cell,"Redraw this motif individually with a clear silhouette, one light/shadow family and recognizable details at 48–88px; retain its ID and ownership.",P1,inventoried; not implemented
sticker.feather,sticker,feather,LettersArt.js:STICKER_ART,owned / missing / newly awarded / small cell,"Redraw this motif individually with a clear silhouette, one light/shadow family and recognizable details at 48–88px; retain its ID and ownership.",P1,inventoried; not implemented
sticker.shell,sticker,shell,LettersArt.js:STICKER_ART,owned / missing / newly awarded / small cell,"Redraw this motif individually with a clear silhouette, one light/shadow family and recognizable details at 48–88px; retain its ID and ownership.",P1,inventoried; not implemented
sticker.turtle,sticker,turtle,LettersArt.js:STICKER_ART,owned / missing / newly awarded / small cell,"Redraw this motif individually with a clear silhouette, one light/shadow family and recognizable details at 48–88px; retain its ID and ownership.",P1,inventoried; not implemented
sticker.snake,sticker,snake,LettersArt.js:STICKER_ART,owned / missing / newly awarded / small cell,"Redraw this motif individually with a clear silhouette, one light/shadow family and recognizable details at 48–88px; retain its ID and ownership.",P1,inventoried; not implemented
accessory.cap,accessory,cap,LettersArt.js:ACCESSORY_ART + LettersAnimalArt.js,"owned / locked / equipped; all bodies, colors, poses",Refine shape/material; fit on all eight bodies and review eye/ear/paw collision zones. Preserve purchase and equipped state.,P1,inventoried; not implemented
accessory.crown,accessory,crown,LettersArt.js:ACCESSORY_ART + LettersAnimalArt.js,"owned / locked / equipped; all bodies, colors, poses",Refine shape/material; fit on all eight bodies and review eye/ear/paw collision zones. Preserve purchase and equipped state.,P1,inventoried; not implemented
accessory.bow,accessory,bow,LettersArt.js:ACCESSORY_ART + LettersAnimalArt.js,"owned / locked / equipped; all bodies, colors, poses",Refine shape/material; fit on all eight bodies and review eye/ear/paw collision zones. Preserve purchase and equipped state.,P1,inventoried; not implemented
accessory.glasses,accessory,glasses,LettersArt.js:ACCESSORY_ART + LettersAnimalArt.js,"owned / locked / equipped; all bodies, colors, poses",Refine shape/material; fit on all eight bodies and review eye/ear/paw collision zones. Preserve purchase and equipped state.,P1,inventoried; not implemented
accessory.scarf,accessory,scarf,LettersArt.js:ACCESSORY_ART + LettersAnimalArt.js,"owned / locked / equipped; all bodies, colors, poses",Refine shape/material; fit on all eight bodies and review eye/ear/paw collision zones. Preserve purchase and equipped state.,P1,inventoried; not implemented
accessory.flower,accessory,flower,LettersArt.js:ACCESSORY_ART + LettersAnimalArt.js,"owned / locked / equipped; all bodies, colors, poses",Refine shape/material; fit on all eight bodies and review eye/ear/paw collision zones. Preserve purchase and equipped state.,P1,inventoried; not implemented
accessory.balloon,accessory,balloon,LettersArt.js:ACCESSORY_ART + LettersAnimalArt.js,"owned / locked / equipped; all bodies, colors, poses",Refine shape/material; fit on all eight bodies and review eye/ear/paw collision zones. Preserve purchase and equipped state.,P1,inventoried; not implemented
accessory.wand,accessory,wand,LettersArt.js:ACCESSORY_ART + LettersAnimalArt.js,"owned / locked / equipped; all bodies, colors, poses",Refine shape/material; fit on all eight bodies and review eye/ear/paw collision zones. Preserve purchase and equipped state.,P1,inventoried; not implemented
accessory.taqiyah,accessory,taqiyah,LettersArt.js:ACCESSORY_ART + LettersAnimalArt.js,"owned / locked / equipped; all bodies, colors, poses",Refine shape/material; fit on all eight bodies and review eye/ear/paw collision zones. Preserve purchase and equipped state.,P1,inventoried; not implemented
accessory.cape,accessory,cape,LettersArt.js:ACCESSORY_ART + LettersAnimalArt.js,"owned / locked / equipped; all bodies, colors, poses",Refine shape/material; fit on all eight bodies and review eye/ear/paw collision zones. Preserve purchase and equipped state.,P1,inventoried; not implemented
accessory.medal,accessory,medal,LettersArt.js:ACCESSORY_ART + LettersAnimalArt.js,"owned / locked / equipped; all bodies, colors, poses",Refine shape/material; fit on all eight bodies and review eye/ear/paw collision zones. Preserve purchase and equipped state.,P1,inventoried; not implemented
accessory.kite,accessory,kite,LettersArt.js:ACCESSORY_ART + LettersAnimalArt.js,"owned / locked / equipped; all bodies, colors, poses",Refine shape/material; fit on all eight bodies and review eye/ear/paw collision zones. Preserve purchase and equipped state.,P1,inventoried; not implemented
accessory.sprout,accessory,sprout,LettersArt.js:ACCESSORY_ART + LettersAnimalArt.js,"owned / locked / equipped; all bodies, colors, poses",Refine shape/material; fit on all eight bodies and review eye/ear/paw collision zones. Preserve purchase and equipped state.,P1,inventoried; not implemented
accessory.moonpin,accessory,moonpin,LettersArt.js:ACCESSORY_ART + LettersAnimalArt.js,"owned / locked / equipped; all bodies, colors, poses",Refine shape/material; fit on all eight bodies and review eye/ear/paw collision zones. Preserve purchase and equipped state.,P1,inventoried; not implemented
pet.blob,pet,blob,LettersArt.js:pet/SPECIES + LettersAnimalArt.js,"all supported stages, hues, expressions, accessories","Preserve species identity; individually refine silhouette, face readability, limb contact and shading. Keep approved animal proportions; do not replace earned pets.",P1,inventoried; not implemented
pet.lumi,pet,lumi,LettersArt.js:pet/SPECIES + LettersAnimalArt.js,"all supported stages, hues, expressions, accessories","Preserve species identity; individually refine silhouette, face readability, limb contact and shading. Keep approved animal proportions; do not replace earned pets.",P1,inventoried; not implemented
